策略-参数1,策略-参数2,策略-参数3,标的,开始时间,结束时间,保证金,使用金额,起始金额,结束金额,最大回撤,盈亏比,胜率,收益率
MA,20,40,DCE.c1901,2018-01-15,2019-01-15,1204.5,37314.65575471449,10000000.0,9995692.0,77.44843452618201,0.0,0.25,-11.545061619537275
MA,20,60,DCE.c1901,2018-01-15,2019-01-15,1204.5,35720.0,10000000.0,9984240.0,74.13864674138647,0.0,0.0,-44.120940649496085
EMA,5,15,DCE.c1901,2018-01-15,2019-01-15,1204.5,54007.52473378234,10000000.0,9980084.0,112.09531908215511,1.2684563758389262,0.1428571428571428,-36.87634287661087
EMA,10,30,DCE.c1901,2018-01-15,2019-01-15,1204.5,24090.0,10000000.0,10001120.0,46.3515604179877,3.897435897435898,0.1428571428571428,4.649232046492321
EMA,20,40,DCE.c1901,2018-01-15,2019-01-15,1204.5,26518.43622747671,10000000.0,10002868.0,55.040340862342696,3.333333333333333,0.2,10.815117359855336
EMA,20,60,DCE.c1901,2018-01-15,2019-01-15,1204.5,32806.70292236133,10000000.0,10006264.0,68.09195293142658,inf,1.0,19.093659045299564
VWMA,5,15,DCE.c1901,2018-01-15,2019-01-15,1204.5,53908.01080720027,10000000.0,9980784.0,111.88877294977225,0.7422945205479453,0.1904761904761904,-35.645908116931295
VWMA,10,30,DCE.c1901,2018-01-15,2019-01-15,1204.5,42873.62040528369,10000000.0,9987048.0,88.98634372205,0.38,0.2,-30.209718417910448
VWMA,20,40,DCE.c1901,2018-01-15,2019-01-15,1204.5,46512.29721821607,10000000.0,9990044.0,96.53859945665435,0.7848837209302325,0.1666666666666666,-21.40509197662427
VWMA,20,60,DCE.c1901,2018-01-15,2019-01-15,1204.5,32644.448284026697,10000000.0,9988740.0,67.75518531346346,0.0,0.0,-34.49284822347464
MA+kσ,5,15,DCE.c1901,2018-01-15,2019-01-15,1204.5,56603.049222337926,10000000.0,9980980.0,117.4824599882481,0.4642857142857143,0.2352941176470588,-33.60243001271726
MA+kσ,10,30,DCE.c1901,2018-01-15,2019-01-15,1204.5,49734.42839206281,10000000.0,9981948.0,103.22629388140888,0.7682926829268293,0.1,-36.296787926652726
MA+kσ,20,40,DCE.c1901,2018-01-15,2019-01-15,1204.5,37091.37475749407,10000000.0,9999816.0,76.98500364776686,1.3833333333333333,0.3333333333333333,-0.4960722033168209
MA+kσ,20,60,DCE.c1901,2018-01-15,2019-01-15,1204.5,25272.0,10000000.0,9991540.0,52.453300124533,0.0,0.0,-33.47578347578348
MA,5,15,DCE.c1701,2016-01-15,2017-01-15,1204.5,40791.5885427175,10000000.0,10002576.0,84.66498244648713,1.4259946949602125,0.3846153846153846,6.31502741625857
MA,10,30,DCE.c1701,2016-01-15,2017-01-15,1204.5,61919.99999999999,10000000.0,9996568.0,128.51805728518056,1.0334645669291338,0.4,-5.54263565891473
MA,20,40,DCE.c1701,2016-01-15,2017-01-15,1204.5,34645.196284168895,10000000.0,10003016.0,71.90783786668513,inf,1.0,8.705391579432789
MA,20,60,DCE.c1701,2016-01-15,2017-01-15,1204.5,49363.88394176323,10000000.0,9998016.0,102.45721033989878,0.609375,0.6666666666666666,-4.0191326969746
EMA,5,15,DCE.c1701,2016-01-15,2017-01-15,1204.5,39015.07716870463,10000000.0,10016452.0,80.97774422728233,3.404059040590406,0.2857142857142857,42.1683133647541
EMA,10,30,DCE.c1701,2016-01-15,2017-01-15,1204.5,35758.42998592921,10000000.0,10012144.0,74.21841009947947,2.3472222222222223,0.5,33.961222583817616
EMA,20,40,DCE.c1701,2016-01-15,2017-01-15,1204.5,42993.32968197639,10000000.0,9996892.0,89.23480631377416,0.6721311475409836,0.5,-7.229028370191415
EMA,20,60,DCE.c1701,2016-01-15,2017-01-15,1204.5,48751.79422586946,10000000.0,10002340.0,101.18678751737124,inf,1.0,4.799823344262295
VWMA,5,15,DCE.c1701,2016-01-15,2017-01-15,1204.5,38794.14532023149,10000000.0,10003528.0,80.51918912459836,1.81437125748503,0.3333333333333333,9.094155756951595
VWMA,10,30,DCE.c1701,2016-01-15,2017-01-15,1204.5,55085.04909224046,10000000.0,10001968.0,114.33177478671745,0.5891472868217055,0.6,3.5726572498911
VWMA,20,40,DCE.c1701,2016-01-15,2017-01-15,1204.5,41433.58444838695,10000000.0,10000016.0,85.99747706182431,0.8181818181818182,0.3333333333333333,0.0386160169654906
